model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score,mse
FONN2_TrANN_drop_standard 5 10,8.491711711883545,0.016237688064575196,-5.413291101783832,-30.800449116302495,5.812656873578018
FONN3_TrANN_drop_standard 5 10,9.442826890945435,0.020643854141235353,-13.831717966949318,-33.34442649963625,14.390292494695634
TREENN1_TrANN_drop_standard 10,4.071215677261352,0.010172653198242187,-11.666621306067922,-43.014535884803266,12.864695704571593
TREENN2_TrANN_drop_standard 10,4.148246479034424,0.006765222549438477,-4.85683852739688,-32.13224349683479,5.4313891353178905
TREENN3_TrANN_drop_standard 10,3.987790822982788,0.008528614044189453,-18.657839809218796,-34.65781858999578,15.963759070714406
MLP_sk_target_identity 10,8.242510461807251,0.006455564498901367,-26.488446631542576,-43.971713700671714,38.2542137331148
FONN1_sk_target_identity 5 10,8.775524234771728,0.030152034759521485,-2.540021306768871,-23.931437222585195,1.7890974603213552
FONN2_sk_target_identity 5 10,6.639893054962158,0.018618249893188478,-41.81667987165464,-53.15518254089251,26.36658888740088
TREENN1_sk_target_identity 5 10,5.657948303222656,0.005080461502075195,-7.083438150992528,-27.20232269348882,7.800260802888195
TREENN2_sk_target_identity 5 10,7.396652793884277,0.0237062931060791,-44.331476230847144,-50.160792218532215,51.720072531084284
FONN1_TrANN_target_identity 5 10,9.534867000579833,0.008701896667480469,-64.24301473300973,-71.82792268330459,65.54225107643344
FONN2_TrANN_target_identity 5 10,8.19747838973999,0.015402793884277344,-7.5756480377558315,-28.80290378721955,8.118374070366592
FONN3_TrANN_target_identity 5 10,9.901743984222412,0.008455610275268555,-41.79405262266021,-55.2542526309952,45.5086342192166
TREENN1_TrANN_target_identity 10,3.9935216426849367,0.010077142715454101,-72.87043612629093,-78.20052243124914,62.98521322188821
TREENN2_TrANN_target_identity 10,3.9777904987335204,0.00890364646911621,-5.910524334854635,-37.48386112912217,6.827574857688542
TREENN3_TrANN_target_identity 10,3.787112998962402,0.004115867614746094,-53.23244338055499,-64.99571550992434,62.59918863290498
MLP_sk_target_standard 10,3.066922998428345,0.026416921615600587,-10.266001625038808,-20.745721907313133,9.96936656373995
FONN1_sk_target_standard 5 10,3.9611337661743162,0.016884326934814453,-2.0034941474878103,-22.52789398234055,3.523021835711958
FONN2_sk_target_standard 5 10,9.202702188491822,0.0040875434875488285,-9.147173291839808,-25.114835641749004,11.810674416485448
TREENN1_sk_target_standard 5 10,1.87225022315979,0.018488168716430664,-6.759950204926755,-30.992037388868738,4.435053899260556
TREENN2_sk_target_standard 5 10,3.3640658378601076,0.015596294403076172,-11.01352747806322,-24.599940555809823,12.580840501187108
FONN1_TrANN_target_standard 5 10,10.218089771270751,0.024055957794189453,-13.24564236163009,-42.52274198913581,11.862480373863704
FONN2_TrANN_target_standard 5 10,8.518353462219238,0.0229794979095459,-5.2265159962106935,-29.798408874022215,5.7618898001152985
FONN3_TrANN_target_standard 5 10,9.377741527557372,0.01774425506591797,-13.25448111750677,-35.03056807158806,14.514046506048073
TREENN1_TrANN_target_standard 10,3.9130629539489745,0.008207368850708007,-11.93920218925617,-44.042217174030476,12.631154695707165
TREENN2_TrANN_target_standard 10,4.236416244506836,0.009582138061523438,-4.851962142132517,-31.965974434538662,5.260578501714222
TREENN3_TrANN_target_standard 10,3.8492419719696045,0.011672210693359376,-17.258756454594923,-35.88182908632017,16.206057237068404
Ensemble_sk 40,0.5781308650970459,0.04725251197814941,-1.4431378827695267,-21.280251570083475,1.533181669960473
MLP_sk_drop_identity 40,6.319590759277344,0.01670413017272949,-23.480821728628833,-35.57586361584222,20.650110220997238
